"act_heat_index","act_heat_index_smart","animal_activity","heat_index","low_pass_over_activity","percentile60_of_5day_temp","stomach_temp","temp_dec_index","temp_height_index","temp_inc_index","temp_without_drink_cycles","time","CowID"
"","","0.0","","0.0","","","","","","","2018-06-20 16:08:00","9794"
"","","5.13","","3.131","","","","","","","2018-06-20 16:18:00","9794"
"","","1.77","","3.528","","","","","","","2018-06-20 16:28:00","9794"
"","","6.13","","5.778","","","","","","39.76","2018-06-20 16:38:00","9794"
"","","3.61","","6.385","","","","","","40.31","2018-06-20 16:48:00","9794"
"","","4.37","","7.1","","","","","","40.31","2018-06-20 16:58:00","9794"
"","","2.05","","8.569","","","","","","40.31","2018-06-20 17:08:00","9794"
"","","1.02","","8.359","","","","","","40.31","2018-06-20 17:18:00","9794"
"","","1.58","","8.282","","","","","","40.28","2018-06-20 17:28:00","9794"
"","","2.27","","6.837","","","","","","40.28","2018-06-20 17:38:00","9794"
"","","1.32","","6.011","","","","","","40.28","2018-06-20 17:48:00","9794"
"","","1.66","","4.908","","","","","","40.19","2018-06-20 17:58:00","9794"
"","","4.1","","4.114","","","","","","40.11","2018-06-20 18:08:00","9794"
"","","2.89","","4.456","","","","","","40.03","2018-06-20 18:18:00","9794"
"","","2.42","","4.989","","","","","","39.94","2018-06-20 18:28:00","9794"
"","","2.15","","5.331","","","","","","40.03","2018-06-20 18:38:00","9794"
"","","1.95","","5.563","","","","","","40.16","2018-06-20 18:48:00","9794"
"","","1.92","","5.681","","","","","","40.28","2018-06-20 18:58:00","9794"
"","","1.44","","5.787","","","","","","40.4","2018-06-20 19:08:00","9794"
"","","1.3","","5.197","","","","","","40.55","2018-06-20 19:18:00","9794"
"","","0.54","","4.55","","","","","","40.74","2018-06-20 19:28:00","9794"